Dish,Protein (g),Fat (g),Carbohydrates (g),cuisines,allergy,Tags,image_url
aloo gobhi,4,21,10,"[""Indian""]","[""seasme""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1096057548/photo/aloo-gobi-cauliflower-potato-curry.jpg?s=612x612&w=0&k=20&c=FHnOLRLfBn0zQDHsy_gutmT0iXa4D0g5vg1uxJnc_40=
aloo mutter,15,3,5,"[""Indian""]","[""seasme""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1421209133/photo/aloo-matar-curry-potato-peas-cooked-with-an-onion-and-tomatoes-along-with-indian-spices.jpg?s=612x612&w=0&k=20&c=deivp4jNEfqEsLpFdPZtevarEGHz0CKGGTD9Ac4Xg9c=
aloo palak,7,2,10,"[""Indian""]","[""seasme""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1124514383/photo/aloo-palak-sabzi-or-spinach-potatoes-curry-served-in-a-bowl-popular-indian-healthy-recipe.jpg?s=612x612&w=0&k=20&c=h7-L0gopxlxDTaqqEvtO5tbs6jeKBr_tEXZGdaN0Aec=
aloo paratha,4,3,14,"[""Indian""]","[""seasme""]","[""Breakfast""]",https://media.istockphoto.com/id/1418692758/photo/north-indian-famous-food-aloo-paratha-with-mango-pickle-and-butter.jpg?s=612x612&w=0&k=20&c=JDbBS-5EcSOKUeossLW2NufdKE0Mg7zFZV5ZBLdbpUE=
aloo tikki,7,6,13,"[""Indian""]","[""seasme""]","[""Snacks""]",https://media.istockphoto.com/id/1264056882/photo/indian-aloo-tikki-or-potato-cutlet-is-made-out-of-boiled-potatoes-peas-and-various-curry.jpg?s=612x612&w=0&k=20&c=yr981RXBJGF1UIhKkuzct3UyiQ4uqAvnY_KRQUk1W0k=
apple,0,1,10,"[""American""]","[""seasme""]","[""Snacks""]",https://media.istockphoto.com/id/184276818/photo/red-apple.jpg?s=612x612&w=0&k=20&c=NvO-bLsG0DJ_7Ii8SSVoKLurzjmV0Qi4eGfn6nW3l5w=
artichoke,1,21,2,"[""Mediterranean""]","[""seasme""]","[""Snacks""]",https://media.istockphoto.com/id/155432302/photo/cheesy-spinach-dip.jpg?s=612x612&w=0&k=20&c=TDcaEZk8tqRU54NL4eNmouILmFjXBcfNk9uqz1cAgIM=
arugula,3,21,5,"[""Mediterranean""]","[""seasme""]","[""Snacks""]",https://media.istockphoto.com/id/627233152/photo/fresh-arugula.jpg?s=612x612&w=0&k=20&c=jn2KN9iB3RbOFgV19fzWmNP8clIqLSVIBCNU6Wu2m2Q=
asparagus,3,1,3,"[""Indian"", ""Japanese"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""seasme""]","[""Snacks""]",https://media.istockphoto.com/id/1208413172/photo/cooked-green-asparagus-with-pepper-and-salt-in-a-white-bowl.jpg?s=612x612&w=0&k=20&c=65J6q_DhY0Fwep9pZuVgVOlTBrEIyPv4OkQtvo_ofvo=
avocado sandwitch,3,0,4,"[""Indian"", ""Japanese"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""seasme""]","[""Snacks""]",https://media.istockphoto.com/id/477311992/photo/grilled-rye-sandwiches-with-cheese-spinach-pesto-avocado-and-goat-cheese.jpg?s=612x612&w=0&k=20&c=Hu-rYeEvt_NVQbY8zyXtBYQpdwW44uKxJT1MBVo_8_o=
