Dish,Protein (g),Fat (g),Carbohydrates (g),cuisines,allergy,Tags,image
aloo gobhi,4,21,10,"[""Indian""]","[""Sesame""]","[""Lunch"", ""Dinner""]",https://media.istockphoto.com/id/1096057548/photo/aloo-gobi-cauliflower-potato-curry.jpg?s=612x612&w=0&k=20&c=FHnOLRLfBn0zQDHsy_gutmT0iXa4D0g5vg1uxJnc_40=
aloo mutter,13,2,16,"[""Indian""]","[""Sesame""]","[""Lunch"", ""Dinner""]",https://media.istockphoto.com/id/1421209133/photo/aloo-matar-curry-potato-peas-cooked-with-an-onion-and-tomatoes-along-with-indian-spices.jpg?s=612x612&w=0&k=20&c=deivp4jNEfqEsLpFdPZtevarEGHz0CKGGTD9Ac4Xg9c=
aloo palak,6,2,11,"[""Indian""]","[""Sesame""]","[""Lunch"", ""Dinner""]",https://media.istockphoto.com/id/1124514383/photo/aloo-palak-sabzi-or-spinach-potatoes-curry-served-in-a-bowl-popular-indian-healthy-recipe.jpg?s=612x612&w=0&k=20&c=h7-L0gopxlxDTaqqEvtO5tbs6jeKBr_tEXZGdaN0Aec=
aloo paratha,4,3,14,"[""Indian""]","[""Sesame""]","[""Breakfast"", ""Lunch""]",https://media.istockphoto.com/id/1418692758/photo/north-indian-famous-food-aloo-paratha-with-mango-pickle-and-butter.jpg?s=612x612&w=0&k=20&c=JDbBS-5EcSOKUeossLW2NufdKE0Mg7zFZV5ZBLdbpUE=
aloo tikki,7,6,13,"[""Indian""]","[""Sesame""]","[""Snacks""]",https://media.istockphoto.com/id/1264056882/photo/indian-aloo-tikki-or-potato-cutlet-is-made-out-of-boiled-potatoes-peas-and-various-curry.jpg?s=612x612&w=0&k=20&c=yr981RXBJGF1UIhKkuzct3UyiQ4uqAvnY_KRQUk1W0k=
apple,0,0,25,"[""American""]","[""NA""]","[""Snacks""]",https://media.istockphoto.com/id/184276818/photo/red-apple.jpg?s=612x612&w=0&k=20&c=NvO-bLsG0DJ_7Ii8SSVoKLurzjmV0Qi4eGfn6nW3l5w=
artichoke,3,1,8,"[""Mediterranean""]","[""Sesame""]","[""Snacks""]",https://media.istockphoto.com/id/184276818/photo/red-apple.jpg?s=612x612&w=0&k=20&c=NvO-bLsG0DJ_7Ii8SSVoKLurzjmV0Qi4eGfn6nW3l5w=
arugula,3,21,5,"[""Mediterranean""]","[""Sesame""]","[""Snacks""]",https://media.istockphoto.com/id/627233152/photo/fresh-arugula.jpg?s=612x612&w=0&k=20&c=jn2KN9iB3RbOFgV19fzWmNP8clIqLSVIBCNU6Wu2m2Q=
asparagus,3,1,3,"[""American""]","[""Sesame""]","[""Snacks""]",https://media.istockphoto.com/id/1208413172/photo/cooked-green-asparagus-with-pepper-and-salt-in-a-white-bowl.jpg?s=612x612&w=0&k=20&c=65J6q_DhY0Fwep9pZuVgVOlTBrEIyPv4OkQtvo_ofvo=
avocado sandwitch,4,19,18,"[""American""]","[""Sesame""]","[""Snacks""]",https://media.istockphoto.com/id/477311992/photo/grilled-rye-sandwiches-with-cheese-spinach-pesto-avocado-and-goat-cheese.jpg?s=612x612&w=0&k=20&c=Hu-rYeEvt_NVQbY8zyXtBYQpdwW44uKxJT1MBVo_8_o=
baby corn manchurian,3,15,11,"[""Chinese""]","[""Sesame""]","[""Lunch"", ""Dinner""]",https://media.istockphoto.com/id/1149247145/photo/baby-corn-manchurian-dry-popular-indo-chinese-starter-recipe-selective-focus.jpg?s=612x612&w=0&k=20&c=T70ScYaoSJDa9dmieXkeI0e8ZHUy2bQGVXvTzIAK76c=
baingan bharta,4,5,10,"[""Indian""]","[""Sesame""]","[""Lunch"", ""Dinner""]",https://media.istockphoto.com/id/1437118868/photo/dhaba-style-baingan-bharta-or-mashed-eggplant-curry.jpg?s=612x612&w=0&k=20&c=cUr_zcxvLawS3mGnlw3Ln04N6jWr9UDcr8rGmiupxLQ=
basil,1,6,4,"[""NA""]","[""NA""]","[""NA""]",https://media.istockphoto.com/id/104233836/photo/basil-sprig.jpg?s=612x612&w=0&k=20&c=2BwUsiekJuLpSCJLkC1tP67wjXgK0PxekUT1LZb64r8=
bean sprouts,3,0,6,"[""Chinese""]","[""Sesame""]","[""Snacks""]",https://media.istockphoto.com/id/1127740593/photo/sprouted-lentil-salad.jpg?s=612x612&w=0&k=20&c=Bwk-ToqNq7py8FBjQHnLQnOUDEP9cFtrV224w4f4Hzs=
beef curry,24,21,6,"[""Indian""]","[""Sesame""]","[""Lunch"", ""Dinner""]",https://media.istockphoto.com/id/600683234/photo/japanese-style-beef-curry-over-rice.jpg?s=612x612&w=0&k=20&c=M7Qv9pchvDj1wyZ95IDwb-g37LVlRwEJqU2q4C7dzuI=
Beet Polenta Bowl,4,5,27,"[""American""]","[""Sesame""]","[""Breakfast"", ""Snacks""]",https://media.istockphoto.com/id/1280907289/photo/beetroot-hummus-in-white-bowl-with-chickpeas-and-crackers.jpg?s=612x612&w=0&k=20&c=l4i1hIJQKdYyWfOTBW8UeIulEBclp9pfwZH8yTUBBnc=
Roasted Bell Peppers with garlic and herbs,4,8,8,"[""Mediterranean""]","[""Sesame""]","[""Lunch"", ""Dinner""]",https://media.istockphoto.com/id/495146082/photo/salad-baked-eggplant-and-fresh-tomatoes.jpg?s=612x612&w=0&k=20&c=q623rWewuO_m5Zh95eyNFCLqBznkTy_XmJ322-PQYDc=
bhel puri,6,13,51,"[""Indian""]","[""Sesame""]","[""Snacks""]",https://media.istockphoto.com/id/1158187601/photo/bhelpuri-chaat-chat-is-indian-street-food.jpg?s=612x612&w=0&k=20&c=bDY2H5obmUaknZ-uoT2Zjxk466BmhOpgmQOnT_SYrS4=
bhindi masala,4,9,14,"[""Indian""]","[""Sesame""]","[""Lunch"", ""Dinner""]",https://media.istockphoto.com/id/516316282/photo/indian-masala-fried-bhindi-or-ladyfinger-curry.jpg?s=612x612&w=0&k=20&c=IRTS-aCjpujiT5Y62vT3SKDGCcPg5GFtMu4Arl9ETjY=
blackberries bowl,1,1,15,"[""NA""]","[""Nuts""]","[""Breakfast"", ""Snacks""]",https://media.istockphoto.com/id/817121698/photo/bowl-of-fresh-blackberries-on-stone-background.jpg?s=612x612&w=0&k=20&c=uPRErzKWwSBM9fS0od6tOVJzgr3Nxl4abji52twIfcM=
Bok Choy and Beef Stir fry,19,14,17,"[""Chinese""]","[""Soy""]","[""Dinner""]",https://media.istockphoto.com/id/642257588/photo/beef-and-broccoli-with-udon-noodle-stir-fry.jpg?s=612x612&w=0&k=20&c=O4b8xLIAlc8-3x4oWbHXt-2PM0uIcBu3ucvRMAKbpO4=
